experiment_type,factor,weather,log_path,epochs_logged,complete,accuracy_values,accuracy_mean,accuracy_std,precision_macro_values,precision_macro_mean,precision_macro_std,recall_macro_values,recall_macro_mean,recall_macro_std,f1_macro_values,f1_macro_mean,f1_macro_std,precision_micro_values,precision_micro_mean,precision_micro_std,recall_micro_values,recall_micro_mean,recall_micro_std,f1_micro_values,f1_micro_mean,f1_micro_std
module,with_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_with_ot_逆光_20260701_101246.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0
module,without_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_逆光_20260701_104119.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0
module,without_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_逆光_20260701_110818.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0
module,with_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_逆光_20260701_113651.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0
module,with_tensor_with_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_with_ot_雨天_20260701_120709.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0
module,without_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雨天_20260701_122513.log,500,True,0.8846|0.8846|0.9615|1.0000|0.9615,0.9385,0.0462,0.3857|0.3304|0.4048|0.4286|0.4167,0.3932,0.0345,0.3696|0.3482|0.3929|0.4286|0.4196,0.3918,0.0301,0.3615|0.3359|0.3905|0.4286|0.4173,0.3867,0.0344,0.8846|0.8846|0.9615|1.0000|0.9615,0.9385,0.0462,0.8846|0.8846|0.9615|1.0000|0.9615,0.9385,0.0462,0.8846|0.8846|0.9615|1.0000|0.9615,0.9385,0.0462
module,without_tensor_with_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雨天_20260701_124131.log,500,True,0.9615|0.8846|0.9231|0.8846|0.9615,0.9231,0.0344,0.4048|0.3810|0.3929|0.3857|0.4167,0.3962,0.013,0.4196|0.4018|0.4107|0.4018|0.3929,0.4054,0.0091,0.4095|0.3818|0.3946|0.3815|0.3983,0.3931,0.0106,0.9615|0.8846|0.9231|0.8846|0.9615,0.9231,0.0344,0.9615|0.8846|0.9231|0.8846|0.9615,0.9231,0.0344,0.9615|0.8846|0.9231|0.8846|0.9615,0.9231,0.0344
module,with_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_雨天_20260701_125711.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0
module,with_tensor_with_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_with_ot_雾天_20260701_131502.log,500,True,0.9304|0.9391|0.9130|0.9217|0.9391,0.9287,0.0101,0.6130|0.6171|0.5917|0.6035|0.6083,0.6067,0.0088,0.5688|0.5809|0.5334|0.5448|0.5799,0.5615,0.0192,0.5849|0.5925|0.5455|0.5586|0.5885,0.574,0.0186,0.9304|0.9391|0.9130|0.9217|0.9391,0.9287,0.0101,0.9304|0.9391|0.9130|0.9217|0.9391,0.9287,0.0101,0.9304|0.9391|0.9130|0.9217|0.9391,0.9287,0.0101
module,without_tensor_without_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雾天_20260701_141912.log,500,True,0.9304|0.9391|0.9391|0.9391|0.9565,0.9409,0.0085,0.6076|0.6065|0.6075|0.6056|0.6203,0.6095,0.0054,0.5941|0.5831|0.6047|0.5831|0.5894,0.5909,0.0081,0.5946|0.5892|0.6026|0.5889|0.5997,0.595,0.0055,0.9304|0.9391|0.9391|0.9391|0.9565,0.9409,0.0085,0.9304|0.9391|0.9391|0.9391|0.9565,0.9409,0.0085,0.9304|0.9391|0.9391|0.9391|0.9565,0.9409,0.0085
