experiment_type,factor,weather,log_path,epochs_logged,complete,accuracy_values,accuracy_mean,accuracy_std,precision_macro_values,precision_macro_mean,precision_macro_std,recall_macro_values,recall_macro_mean,recall_macro_std,f1_macro_values,f1_macro_mean,f1_macro_std,precision_micro_values,precision_micro_mean,precision_micro_std,recall_micro_values,recall_micro_mean,recall_micro_std,f1_micro_values,f1_micro_mean,f1_micro_std,val_class_coverage_values,val_class_coverage_mean,val_class_coverage_std,val_present_classes_values,val_present_classes_mean,val_present_classes_std,val_total_classes_values,val_total_classes_mean,val_total_classes_std,val_samples_values,val_samples_mean,val_samples_std
module,without_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_逆光_20260707_185315.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_逆光_20260707_191606.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_逆光_20260707_191656.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,with_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_逆光_20260707_193953.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,with_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_逆光_20260707_194042.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雨天_20260707_200539.log,500,True,0.8846|0.9231|0.9615|1.0000|1.0000,0.9538,0.0449,0.9000|0.9167|0.9444|1.0000|1.0000,0.9522,0.0415,0.9250|0.9583|0.9167|1.0000|1.0000,0.96,0.0355,0.8862|0.9206|0.9111|1.0000|1.0000,0.9436,0.0474,0.8846|0.9231|0.9615|1.0000|1.0000,0.9538,0.0449,0.8846|0.9231|0.9615|1.0000|1.0000,0.9538,0.0449,0.8846|0.9231|0.9615|1.0000|1.0000,0.9538,0.0449,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,without_tensor_with_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雨天_20260707_201937.log,500,True,0.9231|0.9231|0.9231|0.9231|0.9231,0.9231,0.0,0.9167|0.9514|0.9167|0.9167|0.9167,0.9236,0.0139,0.9583|0.9458|0.8958|0.9583|0.9458,0.9408,0.0232,0.9206|0.9455|0.8778|0.9277|0.9148,0.9173,0.0223,0.9231|0.9231|0.9231|0.9231|0.9231,0.9231,0.0,0.9231|0.9231|0.9231|0.9231|0.9231,0.9231,0.0,0.9231|0.9231|0.9231|0.9231|0.9231,0.9231,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,with_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_雨天_20260707_203331.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,without_tensor_without_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雾天_20260707_204733.log,500,True,0.9391|0.9217|0.9217|0.9304|0.9652,0.9357,0.0161,0.9454|0.9263|0.9234|0.9367|0.9741,0.9412,0.0182,0.9282|0.8996|0.8474|0.8908|0.9254,0.8983,0.0292,0.9279|0.9013|0.8624|0.9018|0.9425,0.9072,0.0274,0.9391|0.9217|0.9217|0.9304|0.9652,0.9357,0.0161,0.9391|0.9217|0.9217|0.9304|0.9652,0.9357,0.0161,0.9391|0.9217|0.9217|0.9304|0.9652,0.9357,0.0161,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
module,without_tensor_with_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雾天_20260707_213633.log,500,True,0.9304|0.9043|0.9304|0.9217|0.9391,0.9252,0.0118,0.9288|0.9321|0.9339|0.9295|0.9447,0.9338,0.0057,0.8608|0.8487|0.9035|0.8377|0.9067,0.8715,0.0284,0.8829|0.8748|0.9093|0.8558|0.9170,0.888,0.0225,0.9304|0.9043|0.9304|0.9217|0.9391,0.9252,0.0118,0.9304|0.9043|0.9304|0.9217|0.9391,0.9252,0.0118,0.9304|0.9043|0.9304|0.9217|0.9391,0.9252,0.0118,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
