experiment_type,factor,weather,log_path,epochs_logged,complete,accuracy_values,accuracy_mean,accuracy_std,precision_macro_values,precision_macro_mean,precision_macro_std,recall_macro_values,recall_macro_mean,recall_macro_std,f1_macro_values,f1_macro_mean,f1_macro_std,precision_micro_values,precision_micro_mean,precision_micro_std,recall_micro_values,recall_micro_mean,recall_micro_std,f1_micro_values,f1_micro_mean,f1_micro_std,val_class_coverage_values,val_class_coverage_mean,val_class_coverage_std,val_present_classes_values,val_present_classes_mean,val_present_classes_std,val_total_classes_values,val_total_classes_mean,val_total_classes_std,val_samples_values,val_samples_mean,val_samples_std
single_modal,vis,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/vis_逆光_20260709_162041.log,500,True,0.6389|0.5833|0.6111|0.6111|0.6667,0.6222,0.0283,0.7190|0.6339|0.5602|0.6481|0.5550,0.6233,0.0609,0.6287|0.5824|0.6194|0.6185|0.5546,0.6007,0.028,0.6416|0.5535|0.5381|0.6111|0.5406,0.577,0.0418,0.6389|0.5833|0.6111|0.6111|0.6667,0.6222,0.0283,0.6389|0.5833|0.6111|0.6111|0.6667,0.6222,0.0283,0.6389|0.5833|0.6111|0.6111|0.6667,0.6222,0.0283,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
single_modal,ir,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_逆光_20260709_163819.log,500,True,0.3514|0.4054|0.4054|0.4054|0.4324,0.4,0.0265,0.4764|0.2316|0.3645|0.3420|0.4407,0.371,0.0852,0.3981|0.4306|0.4815|0.4722|0.4769,0.4519,0.0324,0.3455|0.2918|0.3912|0.3787|0.3862,0.3587,0.037,0.3514|0.4054|0.4054|0.4054|0.4324,0.4,0.0265,0.3514|0.4054|0.4054|0.4054|0.4324,0.4,0.0265,0.3514|0.4054|0.4054|0.4054|0.4324,0.4,0.0265,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,37.0000|37.0000|37.0000|37.0000|37.0000,37.0,0.0
single_modal,ais,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_逆光_20260709_164813.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,vis,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/vis_雨天_20260709_164815.log,500,True,0.3462|0.1923|0.3462|0.2692|0.3077,0.2923,0.0576,0.2619|0.1667|0.3225|0.2361|0.2681,0.2511,0.0507,0.3000|0.1667|0.2500|0.2500|0.3667,0.2667,0.0658,0.2613|0.1502|0.2368|0.2348|0.2042,0.2175,0.0382,0.3462|0.1923|0.3462|0.2692|0.3077,0.2923,0.0576,0.3462|0.1923|0.3462|0.2692|0.3077,0.2923,0.0576,0.3462|0.1923|0.3462|0.2692|0.3077,0.2923,0.0576,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
single_modal,ir,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_雨天_20260709_170230.log,500,True,0.1923|0.1538|0.1538|0.1923|0.0769,0.1538,0.0421,0.0321|0.1875|0.0606|0.2273|0.1667,0.1348,0.0754,0.1667|0.0958|0.0833|0.1542|0.0417,0.1083,0.0463,0.0538|0.1166|0.0702|0.1204|0.0667,0.0855,0.0275,0.1923|0.1538|0.1538|0.1923|0.0769,0.1538,0.0421,0.1923|0.1538|0.1538|0.1923|0.0769,0.1538,0.0421,0.1923|0.1538|0.1538|0.1923|0.0769,0.1538,0.0421,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
single_modal,ais,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雨天_20260709_170839.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,vis,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/vis_雾天_20260709_170841.log,500,True,0.4174|0.4522|0.4000|0.4348|0.4087,0.4226,0.0187,0.3283|0.5995|0.4848|0.3915|0.4452,0.4499,0.0914,0.2997|0.3702|0.2941|0.3433|0.3271,0.3269,0.0281,0.2951|0.3844|0.3158|0.3361|0.3324,0.3328,0.0296,0.4174|0.4522|0.4000|0.4348|0.4087,0.4226,0.0187,0.4174|0.4522|0.4000|0.4348|0.4087,0.4226,0.0187,0.4174|0.4522|0.4000|0.4348|0.4087,0.4226,0.0187,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
single_modal,ir,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_雾天_20260709_180857.log,500,True,0.1061|0.0909|0.0909|0.1061|0.0758,0.0939,0.0113,0.0383|0.0466|0.1539|0.0687|0.0415,0.0698,0.0434,0.1528|0.0898|0.1001|0.0991|0.0991,0.1082,0.0226,0.0518|0.0544|0.0667|0.0524|0.0498,0.055,0.006,0.1061|0.0909|0.0909|0.1061|0.0758,0.0939,0.0113,0.1061|0.0909|0.0909|0.1061|0.0758,0.0939,0.0113,0.1061|0.0909|0.0909|0.1061|0.0758,0.0939,0.0113,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,132.0000|132.0000|132.0000|132.0000|132.0000,132.0,0.0
single_modal,ais,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雾天_20260709_184020.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,vis,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/vis_黑天_20260709_184021.log,500,True,0.2333|0.1583|0.1583|0.1667|0.2750,0.1983,0.0476,0.0967|0.1103|0.1653|0.0588|0.1233,0.1109,0.0347,0.1939|0.1122|0.2824|0.1394|0.1559,0.1768,0.0591,0.1182|0.0742|0.1656|0.0823|0.1376,0.1156,0.0341,0.2333|0.1583|0.1583|0.1667|0.2750,0.1983,0.0476,0.2333|0.1583|0.1583|0.1667|0.2750,0.1983,0.0476,0.2333|0.1583|0.1583|0.1667|0.2750,0.1983,0.0476,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
single_modal,ir,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_黑天_20260709_194246.log,500,True,0.0500|0.0917|0.0667|0.0583|0.0750,0.0683,0.0143,0.2375|0.0653|0.0233|0.0903|0.0786,0.099,0.0729,0.0497|0.0511|0.0385|0.0533|0.0629,0.0511,0.0078,0.0794|0.0493|0.0290|0.0668|0.0685,0.0586,0.0177,0.0500|0.0917|0.0667|0.0583|0.0750,0.0683,0.0143,0.0500|0.0917|0.0667|0.0583|0.0750,0.0683,0.0143,0.0500|0.0917|0.0667|0.0583|0.0750,0.0683,0.0143,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
single_modal,ais,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_黑天_20260709_201011.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module,with_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_逆光_20260709_205657.log,500,True,0.1389|0.2222|0.2222|0.2778|0.1944,0.2111,0.0451,0.0505|0.1031|0.0930|0.1407|0.0937,0.0962,0.0288,0.1296|0.1667|0.1620|0.1852|0.1361,0.1559,0.0205,0.0487|0.1095|0.1132|0.1357|0.0983,0.1011,0.0289,0.1389|0.2222|0.2222|0.2778|0.1944,0.2111,0.0451,0.1389|0.2222|0.2222|0.2778|0.1944,0.2111,0.0451,0.1389|0.2222|0.2222|0.2778|0.1944,0.2111,0.0451,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_逆光_20260709_203331.log,500,True,0.5833|0.5278|0.5556|0.5556|0.5833,0.5611,0.0208,0.6717|0.4630|0.6537|0.7921|0.8127,0.6786,0.1249,0.6806|0.5000|0.6296|0.6148|0.6194,0.6089,0.0593,0.6163|0.4593|0.5816|0.6257|0.6516,0.5869,0.0676,0.5833|0.5278|0.5556|0.5556|0.5833,0.5611,0.0208,0.5833|0.5278|0.5556|0.5556|0.5833,0.5611,0.0208,0.5833|0.5278|0.5556|0.5556|0.5833,0.5611,0.0208,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_逆光_20260709_201014.log,500,True,0.5556|0.6111|0.5278|0.6111|0.6111,0.5833,0.0351,0.5794|0.6402|0.5236|0.7457|0.6556,0.6289,0.0749,0.6065|0.6250|0.6019|0.6009|0.7176,0.6304,0.0445,0.5721|0.5703|0.5229|0.6146|0.6455,0.5851,0.0419,0.5556|0.6111|0.5278|0.6111|0.6111,0.5833,0.0351,0.5556|0.6111|0.5278|0.6111|0.6111,0.5833,0.0351,0.5556|0.6111|0.5278|0.6111|0.6111,0.5833,0.0351,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,with_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_雨天_20260709_215038.log,500,True,0.2308|0.0769|0.3077|0.3077|0.2308,0.2308,0.0843,0.0923|0.0476|0.2865|0.0556|0.0476,0.1059,0.0918,0.3333|0.0833|0.4000|0.1667|0.1250,0.2217,0.1231,0.1397|0.0606|0.2896|0.0833|0.0690,0.1284,0.0852,0.2308|0.0769|0.3077|0.3077|0.2308,0.2308,0.0843,0.2308|0.0769|0.3077|0.3077|0.2308,0.2308,0.0843,0.2308|0.0769|0.3077|0.3077|0.2308,0.2308,0.0843,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,without_tensor_with_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雨天_20260709_213550.log,500,True,0.3077|0.1154|0.2692|0.2692|0.1923,0.2308,0.0688,0.2500|0.0639|0.3208|0.2333|0.1944,0.2125,0.0848,0.2292|0.1500|0.2583|0.2583|0.1792,0.215,0.0435,0.2020|0.0758|0.2333|0.2278|0.1488,0.1775,0.059,0.3077|0.1154|0.2692|0.2692|0.1923,0.2308,0.0688,0.3077|0.1154|0.2692|0.2692|0.1923,0.2308,0.0688,0.3077|0.1154|0.2692|0.2692|0.1923,0.2308,0.0688,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,without_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雨天_20260709_212117.log,500,True,0.2308|0.2308|0.1923|0.1923|0.1154,0.1923,0.0421,0.2424|0.2604|0.0778|0.0362|0.1310,0.1496,0.0886,0.1875|0.2583|0.2667|0.1667|0.0875,0.1933,0.0656,0.1412|0.2222|0.1143|0.0595|0.0889,0.1252,0.0555,0.2308|0.2308|0.1923|0.1923|0.1154,0.1923,0.0421,0.2308|0.2308|0.1923|0.1923|0.1154,0.1923,0.0421,0.2308|0.2308|0.1923|0.1923|0.1154,0.1923,0.0421,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,with_tensor_without_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_雾天_20260710_002016.log,500,True,0.2348|0.1391|0.2000|0.1826|0.0783,0.167,0.054,0.0286|0.0878|0.0647|0.0630|0.0348,0.0558,0.0216,0.1071|0.1267|0.2156|0.1598|0.1173,0.1453,0.0393,0.0451|0.0852|0.0891|0.0856|0.0520,0.0714,0.0188,0.2348|0.1391|0.2000|0.1826|0.0783,0.167,0.054,0.2348|0.1391|0.2000|0.1826|0.0783,0.167,0.054,0.2348|0.1391|0.2000|0.1826|0.0783,0.167,0.054,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
module,without_tensor_with_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雾天_20260709_231259.log,500,True,0.4783|0.4696|0.4870|0.4609|0.3739,0.4539,0.0409,0.4999|0.4586|0.4856|0.4438|0.3938,0.4563,0.037,0.4171|0.4198|0.4306|0.4140|0.3291,0.4021,0.0369,0.3900|0.3937|0.3961|0.4116|0.3337,0.385,0.0267,0.4783|0.4696|0.4870|0.4609|0.3739,0.4539,0.0409,0.4783|0.4696|0.4870|0.4609|0.3739,0.4539,0.0409,0.4783|0.4696|0.4870|0.4609|0.3739,0.4539,0.0409,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
module,without_tensor_without_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雾天_20260709_220540.log,500,True,0.4696|0.4348|0.4783|0.4696|0.4087,0.4522,0.0264,0.4541|0.4537|0.3627|0.4240|0.4417,0.4272,0.0341,0.4220|0.3588|0.3708|0.4377|0.3873,0.3953,0.03,0.4022|0.3880|0.3563|0.4114|0.3261,0.3768,0.0315,0.4696|0.4348|0.4783|0.4696|0.4087,0.4522,0.0264,0.4696|0.4348|0.4783|0.4696|0.4087,0.4522,0.0264,0.4696|0.4348|0.4783|0.4696|0.4087,0.4522,0.0264,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
module,with_tensor_without_ot,黑天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_黑天_20260710_034945.log,500,True,0.4083|0.2167|0.1250|0.3083|0.3917,0.29,0.107,0.2474|0.0528|0.0715|0.0760|0.0924,0.108,0.0708,0.2123|0.1263|0.0765|0.1322|0.1626,0.142,0.0447,0.1993|0.0599|0.0730|0.0964|0.1173,0.1092,0.0492,0.4083|0.2167|0.1250|0.3083|0.3917,0.29,0.107,0.4083|0.2167|0.1250|0.3083|0.3917,0.29,0.107,0.4083|0.2167|0.1250|0.3083|0.3917,0.29,0.107,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
module,without_tensor_with_ot,黑天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_黑天_20260710_023946.log,500,True,0.1750|0.2167|0.2000|0.1667|0.1833,0.1883,0.018,0.1661|0.0271|0.1803|0.1822|0.0866,0.1284,0.0617,0.1081|0.1250|0.1593|0.1099|0.1077,0.122,0.0197,0.0666|0.0445|0.0914|0.0804|0.0735,0.0713,0.0157,0.1750|0.2167|0.2000|0.1667|0.1833,0.1883,0.018,0.1750|0.2167|0.2000|0.1667|0.1833,0.1883,0.018,0.1750|0.2167|0.2000|0.1667|0.1833,0.1883,0.018,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
module,without_tensor_without_ot,黑天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_黑天_20260710_012926.log,500,True,0.1667|0.2167|0.1917|0.1917|0.1500,0.1833,0.023,0.0800|0.0271|0.0276|0.1587|0.0285,0.0644,0.0513,0.0968|0.1250|0.1106|0.1143|0.0865,0.1066,0.0135,0.0636|0.0445|0.0442|0.0995|0.0429,0.0589,0.0217,0.1667|0.2167|0.1917|0.1917|0.1500,0.1833,0.023,0.1667|0.2167|0.1917|0.1917|0.1500,0.1833,0.023,0.1667|0.2167|0.1917|0.1917|0.1500,0.1833,0.023,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
